product_id,product_name,category,subcategory,cost_price
1,Those Bedding,Home,Bedding,404.64
2,Section Comic,Books,Comics,345.86
3,Room Footwear,Clothing,Footwear,234.9
4,West Furniture,Home,Furniture,360.59
5,  reflect bedding   ,Home,Bedding,188.42
6,Study Accessorie,Electronics,Accessories,65.65
7,  class non-fiction   ,Books,Non-Fiction,30.05
8,Color Academic,Books,Academic,433.33
9,Economy Kid,Clothing,Kids,361.96
10,But Women,Clothing,Women,259.79
11,Analysis Comic,Books,Comics,49.57
12,Free Academic,Books,Academic,111.5
13,  PAPER KITCHEN   ,Home,Kitchen,249.97
14,Card Comic,Books,Comics,424.35
15,Let Non-Fiction,Books,Non-Fiction,365.12
16,  EVER COMIC   ,Books,Comics,30.32
17,Hope Kid,Clothing,Kids,41.4
18,Create Comic,Books,Comics,313.5
19,Describe Laptop,Electronics,Laptops,199.98
20,Or Decor,Home,Decor,103.53
21,  SECOND FICTION   ,Books,Fiction,72.83
22,Already Bedding,Home,Bedding,78.73
23,Reduce Kid,Clothing,Kids,162.67
24,Free Comic,Books,Comics,256.12
25,Guy Comic,Books,Comics,13.24
26,Choose Kitchen,Home,Kitchen,293.93
27,Hotel Camera,Electronics,Cameras,329.52
28,List Men,Clothing,Men,89.4
29,Notice Non-Fiction,Books,Non-Fiction,124.89
30,  COMMERCIAL LAPTOP   ,Electronics,Laptops,160.28
31,None Footwear,Clothing,Footwear,208.14
32,Fish Fiction,Books,Fiction,261.75
33,Campaign Bedding,Home,Bedding,160.31
34,Wife Footwear,Clothing,Footwear,174.45
35,Ago Decor,Home,Decor,100.17
36,Interview Kid,Clothing,Kids,116.31
37,Word Decor,Home,Decor,346.67
38,Money Comic,Books,Comics,282.44
39,  special decor   ,Home,Decor,339.93
40,Check Academic,Books,Academic,477.53
41,  YOURSELF KID   ,Clothing,Kids,477.88
42,Low Accessorie,Electronics,Accessories,329.71
43,Without Non-Fiction,Books,Non-Fiction,271.6
44,  front furniture   ,Home,Furniture,371.74
45,  CLEARLY WOMEN   ,Clothing,Women,453.07
46,  ABOVE WOMEN   ,Clothing,Women,209.58
47,Single Fiction,Books,Fiction,73.05
48,Office Footwear,Clothing,Footwear,440.92
49,Movement Academic,Books,Academic,379.18
50,Glass Decor,Home,Decor,34.29
51,Radio Laptop,Electronics,Laptops,362.94
52,Season Laptop,Electronics,Laptops,419.61
53,Find Camera,Electronics,Cameras,97.22
54,  MATTER KITCHEN   ,Home,Kitchen,286.14
55,War Accessorie,Electronics,Accessories,494.6
56,Figure Non-Fiction,Books,Non-Fiction,236.67
57,Yet Men,Clothing,Men,366.9
58,  SOMEBODY FURNITURE   ,Home,Furniture,171.87
59,painting furniture,Home,Furniture,428.79
60,Reflect Academic,Books,Academic,47.94
61,Choice Laptop,Electronics,Laptops,241.34
62,Successful Men,Clothing,Men,121.58
63,Other Decor,Home,Decor,362.83
64,Shoulder Accessorie,Electronics,Accessories,347.92
65,What Mobile,Electronics,Mobiles,84.06
66,Win Kitchen,Home,Kitchen,470.61
67,Letter Furniture,Home,Furniture,71.12
68,Ground Footwear,Clothing,Footwear,304.84
69,Risk Academic,Books,Academic,401.99
70,Budget Women,Clothing,Women,299.93
