item_id,order_id,product_id,quantity,unit_price,discount_percent
1,669,81,2,635.7,90.2
2,575,85,5,699.84,90.2
3,1601,59,5,709.56,60.9
4,511,5,4,316.89,88.1
5,304,136,5,493.49,60.3
6,1963,100,3,778.55,79.1
7,294,16,3,476.38,22.3
8,2006,38,5,784.77,95.7
9,644,52,5,825.02,64.6
10,1224,16,5,736.82,19.5
11,579,109,2,702.14,85.3
12,419,8,2,653.38,76.2
13,953,98,2,557.49,59.4
14,221,51,3,707.77,45.3
15,264,32,3,57.16,32.7
16,291,97,3,552.38,62.9
17,811,9,2,645.4,32.4
18,81,34,5,499.19,92.7
19,210,61,5,96.4,36.0
20,167,18,4,494.99,54.5
21,1315,141,4,823.73,81.4
22,237,15,3,646.53,55.8
23,1727,11,2,222.91,23.3
24,1783,83,2,390.59,63.4
25,1045,107,3,552.28,4.0
26,428,2,2,352.63,8.1
27,1043,39,2,538.55,91.5
28,577,131,3,391.48,83.5
29,525,67,3,395.67,65.0
30,913,132,5,771.17,20.5
31,794,53,1,204.14,57.0
32,1706,78,2,364.13,5.4
33,1161,7,3,313.35,21.6
34,684,100,2,721.37,45.8
35,1544,123,2,563.03,28.5
36,1756,28,2,884.99,85.3
37,1756,1,1,306.93,38.1
38,327,56,1,647.54,97.1
39,764,6,1,300.98,3.5
40,291,53,3,124.72,63.7
41,1624,122,1,178.71,11.3
42,933,70,5,273.72,70.3
43,1498,102,2,679.63,3.0
44,1701,4,4,578.88,4.4
45,1577,123,3,206.69,26.7
46,1973,115,2,811.3,99.6
47,1154,126,4,793.0,71.6
48,587,95,3,458.98,47.2
49,1349,139,3,149.97,73.5
50,357,120,5,983.6,76.7
51,1378,105,4,363.53,43.2
52,1813,92,2,647.24,45.1
53,1394,88,2,508.82,86.0
54,1227,41,3,851.84,57.4
55,1623,102,2,86.33,41.9
56,1027,27,5,577.59,25.5
57,1930,86,2,491.73,32.5
58,765,134,5,658.61,39.3
59,1536,28,4,229.69,64.4
60,1422,130,2,800.94,49.5
61,1424,104,3,306.34,20.9
62,1949,8,-2,299.31,20.7
63,1394,116,1,951.26,42.2
64,826,77,1,346.45,37.5
65,1269,11,5,680.72,97.7
66,720,122,1,861.87,38.4
67,201,90,4,949.38,68.5
68,779,23,1,477.5,54.4
69,1484,87,1,245.17,98.4
70,635,116,5,220.47,41.1
71,263,8,5,935.86,44.4
72,949,100,3,802.3,53.6
73,519,133,5,493.64,90.2
74,334,85,1,429.6,68.7
75,158,64,2,10.66,77.6
76,1855,12,2,305.77,22.3
77,1196,114,4,809.38,94.8
78,337,145,2,28.56,49.6
79,881,95,1,636.66,10.6
80,572,109,4,71.6,8.7
81,1362,130,3,919.68,90.7
82,248,147,1,190.86,19.7
83,1119,123,3,71.48,79.0
84,847,60,1,206.44,30.0
85,801,131,1,789.15,11.3
86,1200,36,-5,322.93,24.4
87,438,123,2,481.34,9.9
88,1298,19,5,150.38,12.7
89,1764,19,1,568.33,24.7
90,1720,68,3,409.36,75.2
91,657,96,-4,393.82,60.6
92,1534,131,2,889.3,64.6
93,323,74,2,499.65,7.5
94,855,38,1,774.05,4.0
95,576,88,4,306.98,53.5
96,632,99,4,758.63,84.0
97,1148,147,5,141.58,33.7
98,1998,17,3,255.33,26.8
99,592,81,5,927.19,32.4
100,392,50,3,826.61,51.8
101,541,49,5,769.47,89.1
102,1577,93,3,714.06,55.3
103,948,31,5,725.97,87.6
104,422,87,5,187.16,64.7
105,504,70,4,932.82,45.9
106,522,32,5,966.68,81.3
107,7,66,1,928.17,45.5
108,1196,108,3,203.19,5.1
109,1003,112,5,389.95,11.9
110,741,18,1,280.97,54.8
111,1606,109,1,208.87,89.1
112,21,71,1,287.77,24.1
113,1237,142,5,356.78,23.6
114,1197,44,3,806.68,82.5
115,1263,24,1,573.38,61.4
116,1658,64,4,846.16,22.1
117,340,72,2,111.85,23.9
118,1188,115,5,217.32,10.0
119,1460,99,4,851.33,75.1
