order_id,customer_id,order_date,status,region_code
1,90,2023-10-19 02:28:19,DELIVERED,CENTRAL
2,27,2023-05-20 05:13:57,PLACED,CENTRAL
3,395,2023-01-20 04:05:29,DELIVERED,NORTH
4,573,2024-01-13 02:05:49,SHIPPED,WEST
5,276,2024-04-12 18:59:14,PLACED,SOUTH
6,432,2024-04-10 15:34:26,PLACED,EAST
7,508,2025-07-11 10:42:25,DELIVERED,SOUTH
8,406,2024-05-31 01:57:19,DELIVERED,EAST
9,441,2025-10-08 08:24:47,PLACED,EAST
10,206,2025-01-14 02:46:39,RETURNED,EAST
11,503,2025-06-13 14:20:08,SHIPPED,EAST
12,403,2024-07-21 00:45:56,DELIVERED,CENTRAL
13,185,2025-11-25 00:05:20,PLACED,WEST
14,215,2024-11-12 02:47:07,CANCELLED,NORTH
15,419,2025-11-11 10:25:31,DELIVERED,SOUTH
16,158,2024-10-19 07:21:12,PLACED,CENTRAL
17,411,2025-04-10 02:39:38,RETURNED,WEST
18,369,2025-12-25 22:49:19,DELIVERED,NORTH
19,255,2025-10-18 13:09:58,SHIPPED,CENTRAL
20,,2025-09-29 00:30:22,DELIVERED,EAST
21,441,2023-06-14 00:00:00,SHIPPED,CENTRAL
22,572,2025-06-20 19:17:26,SHIPPED,EAST
23,513,2023-08-23 04:10:42,PLACED,NORTH
24,88,2023-06-30 07:22:42,DELIVERED,EAST
25,467,2023-11-18 08:34:22,SHIPPED,NORTH
26,464,2024-05-10 00:00:00,PLACED,NORTH
27,,2024-06-16 22:52:22,DELIVERED,SOUTH
28,250,2025-03-12 13:38:49,SHIPPED,CENTRAL
29,474,2023-12-27 04:12:04,DELIVERED,SOUTH
30,443,2024-09-06 00:00:00,DELIVERED,SOUTH
31,440,2024-08-27 00:00:00,SHIPPED,EAST
32,65,2025-06-15 21:05:24,CANCELLED,SOUTH
33,202,2024-12-11 18:42:58,DELIVERED,WEST
34,321,2025-07-16 08:41:08,DELIVERED,NORTH
35,469,2025-08-17 00:56:56,DELIVERED,EAST
36,87,2025-11-10 02:04:48,PLACED,EAST
37,383,2025-12-13 05:11:17,DELIVERED,CENTRAL
